33148,_messagetime,api,duration,ip,z,zz,zzz,zzzz,_raw
1.68123E+12,11/04/2023 22:43:52.084 +0530,update-proxy,10,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:13:52.084"," INFO index.js [line:1558,test_id:TES1010424871681233069287773","{\""time\""","""}","{""log"":""[2023-04-11T17:13:52.084] INFO index.js [line:1558,test_id:TES1010424871681233069287773] update-proxy response-time - {\""time\"":10,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:41:09.905 +0530,request-browser-launch,213,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:11:09.905"," INFO test.js [line:4729,test_id:TES1010424871681233069287773,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T17:11:09.905] INFO test.js [line:4729,test_id:TES1010424871681233069287773,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":213,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:39:41.975 +0530,clean-browser,10,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:09:41.975"," INFO index.js [line:124,test_id:TES1010424871681232234751401","{\""time\""","""}","{""log"":""[2023-04-11T17:09:41.975] INFO index.js [line:124,test_id:TES1010424871681232234751401] clean-browser response-time - {\""time\"":10,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:34:43.056 +0530,change-resolution,349,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:04:43.056"," INFO index.js [line:486,test_id:TES1010424871681232234751401","{\""time\""","""}","{""log"":""[2023-04-11T17:04:43.056] INFO index.js [line:486,test_id:TES1010424871681232234751401] change-resolution response-time - {\""time\"":349,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:33:52.631 +0530,update-display-scale,71,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:03:52.631"," INFO index.js [line:1060,test_id:TES1010424871681232234751401","{\""time\""","""}","{""log"":""[2023-04-11T17:03:52.631] INFO index.js [line:1060,test_id:TES1010424871681232234751401] update-display-scale response-time - {\""time\"":71,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:33:05.343 +0530,system-action,34,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T17:03:05.343"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T17:03:05.343] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":34,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:29:57.000 +0530,paste-data,0,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:59:57.654"," INFO index.js [line:1591,test_id:TES1010424871681232234751401","{\""time\""","""}","{""log"":""[2023-04-11T16:59:57.654] INFO index.js [line:1591,test_id:TES1010424871681232234751401] paste-data response-time - {\""time\"":0,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:29:57.000 +0530,update-proxy,10,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:59:57.653"," INFO index.js [line:1558,test_id:TES1010424871681232234751401","{\""time\""","""}","{""log"":""[2023-04-11T16:59:57.653] INFO index.js [line:1558,test_id:TES1010424871681232234751401] update-proxy response-time - {\""time\"":10,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:27:15.548 +0530,request-browser-launch,236,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:57:15.548"," INFO test.js [line:4729,test_id:TES1010424871681232234751401,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:57:15.548] INFO test.js [line:4729,test_id:TES1010424871681232234751401,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":236,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:25:48.000 +0530,clean-browser,21,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:55:48.685"," INFO index.js [line:124,test_id:TES1010424871681231404910271","{\""time\""","""}","{""log"":""[2023-04-11T16:55:48.685] INFO index.js [line:124,test_id:TES1010424871681231404910271] clean-browser response-time - {\""time\"":21,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:20:49.213 +0530,change-resolution,286,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:50:49.213"," INFO index.js [line:486,test_id:TES1010424871681231404910271","{\""time\""","""}","{""log"":""[2023-04-11T16:50:49.213] INFO index.js [line:486,test_id:TES1010424871681231404910271] change-resolution response-time - {\""time\"":286,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:19:58.998 +0530,update-display-scale,60,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:49:58.998"," INFO index.js [line:1060,test_id:TES1010424871681231404910271","{\""time\""","""}","{""log"":""[2023-04-11T16:49:58.998] INFO index.js [line:1060,test_id:TES1010424871681231404910271] update-display-scale response-time - {\""time\"":60,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:19:13.255 +0530,system-action,40,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:49:13.255"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T16:49:13.255] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":40,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:16:07.385 +0530,paste-data,0,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:46:07.385"," INFO index.js [line:1591,test_id:TES1010424871681231404910271","{\""time\""","""}","{""log"":""[2023-04-11T16:46:07.385] INFO index.js [line:1591,test_id:TES1010424871681231404910271] paste-data response-time - {\""time\"":0,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:16:07.384 +0530,update-proxy,16,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:46:07.384"," INFO index.js [line:1558,test_id:TES1010424871681231404910271","{\""time\""","""}","{""log"":""[2023-04-11T16:46:07.384] INFO index.js [line:1558,test_id:TES1010424871681231404910271] update-proxy response-time - {\""time\"":16,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:13:25.713 +0530,request-browser-launch,211,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:43:25.713"," INFO test.js [line:4729,test_id:TES1010424871681231404910271,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:43:25.713] INFO test.js [line:4729,test_id:TES1010424871681231404910271,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":211,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:12:16.259 +0530,clean-browser,18,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:42:16.259"," INFO index.js [line:124,test_id:TES1010424871681230731219110","{\""time\""","""}","{""log"":""[2023-04-11T16:42:16.259] INFO index.js [line:124,test_id:TES1010424871681230731219110] clean-browser response-time - {\""time\"":18,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:11:45.659 +0530,change-resolution,58,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:41:45.659"," INFO index.js [line:486,test_id:TES1010424871681230731219110","{\""time\""","""}","{""log"":""[2023-04-11T16:41:45.659] INFO index.js [line:486,test_id:TES1010424871681230731219110] change-resolution response-time - {\""time\"":58,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:08:34.569 +0530,update-display-scale,39,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:38:34.569"," INFO index.js [line:1060,test_id:TES1010424871681230731219110","{\""time\""","""}","{""log"":""[2023-04-11T16:38:34.569] INFO index.js [line:1060,test_id:TES1010424871681230731219110] update-display-scale response-time - {\""time\"":39,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:07:49.006 +0530,system-action,38,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:37:49.006"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T16:37:49.006] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":38,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:04:54.000 +0530,paste-data,1,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:34:54.552"," INFO index.js [line:1591,test_id:TES1010424871681230731219110","{\""time\""","""}","{""log"":""[2023-04-11T16:34:54.552] INFO index.js [line:1591,test_id:TES1010424871681230731219110] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:04:54.000 +0530,update-proxy,13,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:34:54.551"," INFO index.js [line:1558,test_id:TES1010424871681230731219110","{\""time\""","""}","{""log"":""[2023-04-11T16:34:54.551] INFO index.js [line:1558,test_id:TES1010424871681230731219110] update-proxy response-time - {\""time\"":13,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 22:02:12.060 +0530,request-browser-launch,220,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:32:12.060"," INFO test.js [line:4729,test_id:TES1010424871681230731219110,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:32:12.060] INFO test.js [line:4729,test_id:TES1010424871681230731219110,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":220,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:56:17.300 +0530,paste-data,1,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:26:17.300"," INFO index.js [line:1591,test_id:TES1010424871681230213748694","{\""time\""","\nTue Apr 11 2023 16:26:17 GMT+0000 (UTC) :: test.js(4123) :: test lifetime set to 150 seconds for testid => TES1010424871681230376651540""}","{""log"":""[2023-04-11T16:26:17.300] INFO index.js [line:1591,test_id:TES1010424871681230213748694] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.186.102\""}\nTue Apr 11 2023 16:26:17 GMT+0000 (UTC) :: test.js(4123) :: test lifetime set to 150 seconds for testid => TES1010424871681230376651540""}"
1.68123E+12,11/04/2023 21:56:17.299 +0530,update-proxy,15,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:26:17.299"," INFO index.js [line:1558,test_id:TES1010424871681230213748694","{\""time\""","""}","{""log"":""[2023-04-11T16:26:17.299] INFO index.js [line:1558,test_id:TES1010424871681230213748694] update-proxy response-time - {\""time\"":15,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:53:34.985 +0530,request-browser-launch,620,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:23:34.985"," INFO test.js [line:4729,test_id:TES1010424871681230213748694,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:23:34.985] INFO test.js [line:4729,test_id:TES1010424871681230213748694,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":620,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:52:15.000 +0530,clean-browser,134,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:22:15.172"," INFO index.js [line:124,test_id:TES1010424871681229526141821","{\""time\""","""}","{""log"":""[2023-04-11T16:22:15.172] INFO index.js [line:124,test_id:TES1010424871681229526141821] clean-browser response-time - {\""time\"":134,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:51:42.983 +0530,change-resolution,56,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:21:42.983"," INFO index.js [line:486,test_id:TES1010424871681229526141821","{\""time\""","""}","{""log"":""[2023-04-11T16:21:42.983] INFO index.js [line:486,test_id:TES1010424871681229526141821] change-resolution response-time - {\""time\"":56,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:48:31.842 +0530,update-display-scale,32,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:18:31.842"," INFO index.js [line:1060,test_id:TES1010424871681229526141821","{\""time\""","""}","{""log"":""[2023-04-11T16:18:31.842] INFO index.js [line:1060,test_id:TES1010424871681229526141821] update-display-scale response-time - {\""time\"":32,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:47:45.835 +0530,system-action,38,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:17:45.835"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T16:17:45.835] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":38,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:44:49.602 +0530,paste-data,1,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:14:49.602"," INFO index.js [line:1591,test_id:TES1010424871681229526141821","{\""time\""","""}","{""log"":""[2023-04-11T16:14:49.602] INFO index.js [line:1591,test_id:TES1010424871681229526141821] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:44:49.601 +0530,update-proxy,12,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:14:49.601"," INFO index.js [line:1558,test_id:TES1010424871681229526141821","{\""time\""","""}","{""log"":""[2023-04-11T16:14:49.601] INFO index.js [line:1558,test_id:TES1010424871681229526141821] update-proxy response-time - {\""time\"":12,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 21:42:07.494 +0530,request-browser-launch,697,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T16:12:07.494"," INFO test.js [line:4729,test_id:TES1010424871681229526141821,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:12:07.494] INFO test.js [line:4729,test_id:TES1010424871681229526141821,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":697,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:48:31.247 +0530,change-resolution,49,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:18:31.247"," INFO index.js [line:486,test_id:TES1010430491681225730577294","{\""time\""","""}","{""log"":""[2023-04-11T15:18:31.247] INFO index.js [line:486,test_id:TES1010430491681225730577294] change-resolution response-time - {\""time\"":49,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:45:20.082 +0530,update-display-scale,29,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:15:20.082"," INFO index.js [line:1060,test_id:TES1010430491681225730577294","{\""time\""","""}","{""log"":""[2023-04-11T15:15:20.082] INFO index.js [line:1060,test_id:TES1010430491681225730577294] update-display-scale response-time - {\""time\"":29,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:44:33.940 +0530,system-action,44,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:14:33.940"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T15:14:33.940] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":44,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:41:33.730 +0530,paste-data,0,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:11:33.730"," INFO index.js [line:1591,test_id:TES1010430491681225730577294","{\""time\""","\nTue Apr 11 2023 15:11:33 GMT+0000 (UTC) :: index.js(39) :: expired key => scr-started:TES1010430491681225673947356""}","{""log"":""[2023-04-11T15:11:33.730] INFO index.js [line:1591,test_id:TES1010430491681225730577294] paste-data response-time - {\""time\"":0,\""ip\"":\""10.130.186.102\""}\nTue Apr 11 2023 15:11:33 GMT+0000 (UTC) :: index.js(39) :: expired key => scr-started:TES1010430491681225673947356""}"
1.68123E+12,11/04/2023 20:41:33.730 +0530,update-proxy,37,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:11:33.730"," INFO index.js [line:1558,test_id:TES1010430491681225730577294","{\""time\""","""}","{""log"":""[2023-04-11T15:11:33.730] INFO index.js [line:1558,test_id:TES1010430491681225730577294] update-proxy response-time - {\""time\"":37,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:38:51.868 +0530,request-browser-launch,197,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:08:51.868"," INFO test.js [line:4729,test_id:TES1010430491681225730577294,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T15:08:51.868] INFO test.js [line:4729,test_id:TES1010430491681225730577294,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":197,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:37:42.818 +0530,clean-browser,14,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:07:42.818"," INFO index.js [line:124,test_id:TES1010430491681225041391631","{\""time\""","""}","{""log"":""[2023-04-11T15:07:42.818] INFO index.js [line:124,test_id:TES1010430491681225041391631] clean-browser response-time - {\""time\"":14,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:37:10.916 +0530,change-resolution,55,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:07:10.916"," INFO index.js [line:486,test_id:TES1010430491681225041391631","{\""time\""","""}","{""log"":""[2023-04-11T15:07:10.916] INFO index.js [line:486,test_id:TES1010430491681225041391631] change-resolution response-time - {\""time\"":55,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:33:57.000 +0530,update-display-scale,35,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:03:57.950"," INFO index.js [line:1060,test_id:TES1010430491681225041391631","{\""time\""","""}","{""log"":""[2023-04-11T15:03:57.950] INFO index.js [line:1060,test_id:TES1010430491681225041391631] update-display-scale response-time - {\""time\"":35,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:33:12.565 +0530,system-action,32,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:03:12.565"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T15:03:12.565] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":32,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:30:06.337 +0530,paste-data,1,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:00:06.337"," INFO index.js [line:1591,test_id:TES1010430491681225041391631","{\""time\""","\nTue Apr 11 2023 15:00:06 GMT+0000 (UTC) :: local-client.js(173) :: redis test data => {\""type\"":\""success\"",\""message\"":\""test-alive\"",\""ip\"":\""10.64.50.133\"",\""os\"":\""windows\"",\""os_version_id\"":\""OSV100021498719908607\"",\""org_id\"":\""153127\""}""}","{""log"":""[2023-04-11T15:00:06.337] INFO index.js [line:1591,test_id:TES1010430491681225041391631] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.186.102\""}\nTue Apr 11 2023 15:00:06 GMT+0000 (UTC) :: local-client.js(173) :: redis test data => {\""type\"":\""success\"",\""message\"":\""test-alive\"",\""ip\"":\""10.64.50.133\"",\""os\"":\""windows\"",\""os_version_id\"":\""OSV100021498719908607\"",\""org_id\"":\""153127\""}""}"
1.68123E+12,11/04/2023 20:30:06.000 +0530,update-proxy,12,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T15:00:06.336"," INFO index.js [line:1558,test_id:TES1010430491681225041391631","{\""time\""","""}","{""log"":""[2023-04-11T15:00:06.336] INFO index.js [line:1558,test_id:TES1010430491681225041391631] update-proxy response-time - {\""time\"":12,\""ip\"":\""10.130.186.102\""}""}"
1.68123E+12,11/04/2023 20:27:22.426 +0530,request-browser-launch,220,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:57:22.426"," INFO test.js [line:4729,test_id:TES1010430491681225041391631,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T14:57:22.426] INFO test.js [line:4729,test_id:TES1010430491681225041391631,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":220,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:25:54.168 +0530,clean-browser,14,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:55:54.168"," INFO index.js [line:124,test_id:TES1010430491681224217704839","{\""time\""","""}","{""log"":""[2023-04-11T14:55:54.168] INFO index.js [line:124,test_id:TES1010430491681224217704839] clean-browser response-time - {\""time\"":14,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:20:54.282 +0530,change-resolution,270,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:50:54.282"," INFO index.js [line:486,test_id:TES1010430491681224217704839","{\""time\""","""}","{""log"":""[2023-04-11T14:50:54.282] INFO index.js [line:486,test_id:TES1010430491681224217704839] change-resolution response-time - {\""time\"":270,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:20:04.005 +0530,update-display-scale,57,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:50:04.005"," INFO index.js [line:1060,test_id:TES1010430491681224217704839","{\""time\""","""}","{""log"":""[2023-04-11T14:50:04.005] INFO index.js [line:1060,test_id:TES1010430491681224217704839] update-display-scale response-time - {\""time\"":57,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:19:17.631 +0530,system-action,32,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:49:17.631"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T14:49:17.631] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":32,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:16:21.826 +0530,paste-data,0,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:46:21.826"," INFO index.js [line:1591,test_id:TES1010430491681224217704839","{\""time\""","""}","{""log"":""[2023-04-11T14:46:21.826] INFO index.js [line:1591,test_id:TES1010430491681224217704839] paste-data response-time - {\""time\"":0,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:16:21.825 +0530,update-proxy,14,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:46:21.825"," INFO index.js [line:1558,test_id:TES1010430491681224217704839","{\""time\""","""}","{""log"":""[2023-04-11T14:46:21.825] INFO index.js [line:1558,test_id:TES1010430491681224217704839] update-proxy response-time - {\""time\"":14,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:13:38.709 +0530,request-browser-launch,208,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:43:38.709"," INFO test.js [line:4729,test_id:TES1010430491681224217704839,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T14:43:38.709] INFO test.js [line:4729,test_id:TES1010430491681224217704839,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":208,\""ip\"":\""10.130.186.102\""}""}"
1.68122E+12,11/04/2023 20:12:12.000 +0530,clean-browser,22,"\""ip\"":\""10.130.186.102\""","{""log"":""[2023-04-11T14:42:12.659"," INFO index.js [line:124,test_id:TES1010430491681223384571529","{\""time\""","""}","{""log"":""[2023-04-11T14:42:12.659] INFO index.js [line:124,test_id:TES1010430491681223384571529] clean-browser response-time - {\""time\"":22,\""ip\"":\""10.130.186.102\""}""}"
