"_messagetimems","_messagetime","api","duration","ip","z","zz","zzz","zzzz","_raw","cluster","_collector","container","deployment","host","_view","log","namespace","node","pod","service","_size","_source","_sourcecategory","_sourcehost","_sourcename"
"1681230506531","11/04/2023 21:58:26.531 +0530","system-action","44","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:28:26.531"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T16:28:26.531] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":44,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:28:26.531] INFO index.js [line:1294,test_id:undefined] system-action response-time - {""time"":44,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","149","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681230332264","11/04/2023 21:55:32.264 +0530","paste-data","0","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:25:32.264"," INFO index.js [line:1591,test_id:TES1010424871681230167703900","{\""time\""","""}","{""log"":""[2023-04-11T16:25:32.264] INFO index.js [line:1591,test_id:TES1010424871681230167703900] paste-data response-time - {\""time\"":0,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:25:32.264] INFO index.js [line:1591,test_id:TES1010424871681230167703900] paste-data response-time - {""time"":0,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","164","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681230332263","11/04/2023 21:55:32.263 +0530","update-proxy","44","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:25:32.263"," INFO index.js [line:1558,test_id:TES1010424871681230167703900","{\""time\""","""}","{""log"":""[2023-04-11T16:25:32.263] INFO index.js [line:1558,test_id:TES1010424871681230167703900] update-proxy response-time - {\""time\"":44,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:25:32.263] INFO index.js [line:1558,test_id:TES1010424871681230167703900] update-proxy response-time - {""time"":44,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681230169032","11/04/2023 21:52:49.032 +0530","request-browser-launch","571","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:22:49.032"," INFO test.js [line:4729,test_id:TES1010424871681230167703900,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:22:49.032] INFO test.js [line:4729,test_id:TES1010424871681230167703900,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":571,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:22:49.032] INFO test.js [line:4729,test_id:TES1010424871681230167703900,email:saraths@lambdatest.com] request-browser-launch response-time - {""time"":571,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","206","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681230091858","11/04/2023 21:51:31.858 +0530","clean-browser","31","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:21:31.858"," INFO index.js [line:124,test_id:TES1010424871681229529909556","{\""time\""","""}","{""log"":""[2023-04-11T16:21:31.858] INFO index.js [line:124,test_id:TES1010424871681229529909556] clean-browser response-time - {\""time\"":31,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:21:31.858] INFO index.js [line:124,test_id:TES1010424871681229529909556] clean-browser response-time - {""time"":31,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681229912118","11/04/2023 21:48:32.118 +0530","update-display-scale","40","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:18:32.118"," INFO index.js [line:1060,test_id:TES1010424871681229529909556","{\""time\""","""}","{""log"":""[2023-04-11T16:18:32.118] INFO index.js [line:1060,test_id:TES1010424871681229529909556] update-display-scale response-time - {\""time\"":40,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:18:32.118] INFO index.js [line:1060,test_id:TES1010424871681229529909556] update-display-scale response-time - {""time"":40,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","175","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681229865748","11/04/2023 21:47:45.748 +0530","system-action","41","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:17:45.748"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T16:17:45.748] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":41,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:17:45.748] INFO index.js [line:1294,test_id:undefined] system-action response-time - {""time"":41,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","149","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681229690618","11/04/2023 21:44:50.618 +0530","paste-data","1","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:14:50.618"," INFO index.js [line:1591,test_id:TES1010424871681229529909556","{\""time\""","""}","{""log"":""[2023-04-11T16:14:50.618] INFO index.js [line:1591,test_id:TES1010424871681229529909556] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:14:50.618] INFO index.js [line:1591,test_id:TES1010424871681229529909556] paste-data response-time - {""time"":1,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","164","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681229690617","11/04/2023 21:44:50.617 +0530","update-proxy","14","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:14:50.617"," INFO index.js [line:1558,test_id:TES1010424871681229529909556","{\""time\""","""}","{""log"":""[2023-04-11T16:14:50.617] INFO index.js [line:1558,test_id:TES1010424871681229529909556] update-proxy response-time - {\""time\"":14,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:14:50.617] INFO index.js [line:1558,test_id:TES1010424871681229529909556] update-proxy response-time - {""time"":14,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681229531208","11/04/2023 21:42:11.208 +0530","request-browser-launch","738","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T16:12:11.208"," INFO test.js [line:4729,test_id:TES1010424871681229529909556,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T16:12:11.208] INFO test.js [line:4729,test_id:TES1010424871681229529909556,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":738,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-23-111.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T16:12:11.208] INFO test.js [line:4729,test_id:TES1010424871681229529909556,email:saraths@lambdatest.com] request-browser-launch response-time - {""time"":738,""ip"":""10.130.162.234""}","default","ip-10-104-23-111.ec2.internal","ltms-87d889b8f-sss9m","ltms","206","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-sss9m.ltms"
"1681226239169","11/04/2023 20:47:19.169 +0530","update-display-scale","55","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:17:19.169"," INFO index.js [line:1060,test_id:TES1010430491681225845119603","{\""time\""","""}","{""log"":""[2023-04-11T15:17:19.169] INFO index.js [line:1060,test_id:TES1010430491681225845119603] update-display-scale response-time - {\""time\"":55,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:17:19.169] INFO index.js [line:1060,test_id:TES1010430491681225845119603] update-display-scale response-time - {""time"":55,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","175","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681226193200","11/04/2023 20:46:33.200 +0530","system-action","42","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:16:33.200"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T15:16:33.200] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":42,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:16:33.200] INFO index.js [line:1294,test_id:undefined] system-action response-time - {""time"":42,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","149","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681226006567","11/04/2023 20:43:26.567 +0530","paste-data","1","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:13:26.567"," INFO index.js [line:1591,test_id:TES1010430491681225845119603","{\""time\""","""}","{""log"":""[2023-04-11T15:13:26.567] INFO index.js [line:1591,test_id:TES1010430491681225845119603] paste-data response-time - {\""time\"":1,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:13:26.567] INFO index.js [line:1591,test_id:TES1010430491681225845119603] paste-data response-time - {""time"":1,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","164","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681226006566","11/04/2023 20:43:26.566 +0530","update-proxy","36","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:13:26.566"," INFO index.js [line:1558,test_id:TES1010430491681225845119603","{\""time\""","""}","{""log"":""[2023-04-11T15:13:26.566] INFO index.js [line:1558,test_id:TES1010430491681225845119603] update-proxy response-time - {\""time\"":36,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:13:26.566] INFO index.js [line:1558,test_id:TES1010430491681225845119603] update-proxy response-time - {""time"":36,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681225846000","11/04/2023 20:40:46.000 +0530","request-browser-launch","639","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:10:46.721"," INFO test.js [line:4729,test_id:TES1010430491681225845119603,email:saraths@lambdatest.com","{\""time\""","""}","{""log"":""[2023-04-11T15:10:46.721] INFO test.js [line:4729,test_id:TES1010430491681225845119603,email:saraths@lambdatest.com] request-browser-launch response-time - {\""time\"":639,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:10:46.721] INFO test.js [line:4729,test_id:TES1010430491681225845119603,email:saraths@lambdatest.com] request-browser-launch response-time - {""time"":639,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","206","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681225759541","11/04/2023 20:39:19.541 +0530","clean-browser","14","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:09:19.541"," INFO index.js [line:124,test_id:TES1010430491681225018077659","{\""time\""","""}","{""log"":""[2023-04-11T15:09:19.541] INFO index.js [line:124,test_id:TES1010430491681225018077659] clean-browser response-time - {\""time\"":14,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:09:19.541] INFO index.js [line:124,test_id:TES1010430491681225018077659] clean-browser response-time - {""time"":14,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","167","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681225481941","11/04/2023 20:34:41.941 +0530","change-resolution","333","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:04:19.551"," INFO index.js [line:486,test_id:TES1010430491681225018077659","{\""time\""","""}","{""log"":""[2023-04-11T15:04:19.551] INFO index.js [line:486,test_id:TES1010430491681225018077659] change-resolution response-time - {\""time\"":333,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:04:19.551] INFO index.js [line:486,test_id:TES1010430491681225018077659] change-resolution response-time - {""time"":333,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","172","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681225408000","11/04/2023 20:33:28.000 +0530","update-display-scale","78","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:03:28.949"," INFO index.js [line:1060,test_id:TES1010430491681225018077659","{\""time\""","""}","{""log"":""[2023-04-11T15:03:28.949] INFO index.js [line:1060,test_id:TES1010430491681225018077659] update-display-scale response-time - {\""time\"":78,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:03:28.949] INFO index.js [line:1060,test_id:TES1010430491681225018077659] update-display-scale response-time - {""time"":78,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","175","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681225362205","11/04/2023 20:32:42.205 +0530","system-action","39","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T15:02:42.205"," INFO index.js [line:1294,test_id:undefined","{\""time\""","""}","{""log"":""[2023-04-11T15:02:42.205] INFO index.js [line:1294,test_id:undefined] system-action response-time - {\""time\"":39,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T15:02:42.205] INFO index.js [line:1294,test_id:undefined] system-action response-time - {""time"":39,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","149","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681225181000","11/04/2023 20:29:41.000 +0530","paste-data","0","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T14:59:41.429"," INFO index.js [line:1591,test_id:TES1010430491681225018077659","{\""time\""","""}","{""log"":""[2023-04-11T14:59:41.429] INFO index.js [line:1591,test_id:TES1010430491681225018077659] paste-data response-time - {\""time\"":0,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T14:59:41.429] INFO index.js [line:1591,test_id:TES1010430491681225018077659] paste-data response-time - {""time"":0,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","164","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
"1681225181000","11/04/2023 20:29:41.000 +0530","update-proxy","110","\""ip\"":\""10.130.162.234\""","{""log"":""[2023-04-11T14:59:41.429"," INFO index.js [line:1558,test_id:TES1010430491681225018077659","{\""time\""","""}","{""log"":""[2023-04-11T14:59:41.429] INFO index.js [line:1558,test_id:TES1010430491681225018077659] update-proxy response-time - {\""time\"":110,\""ip\"":\""10.130.162.234\""}""}","stage-falcon-eks-cluster-v1","stage-falcon-eks-cluster-v1","ltms","ltms","ip-10-104-16-96.ec2.internal","stage_falcon_eks_cluster","[2023-04-11T14:59:41.429] INFO index.js [line:1558,test_id:TES1010430491681225018077659] update-proxy response-time - {""time"":110,""ip"":""10.130.162.234""}","default","ip-10-104-16-96.ec2.internal","ltms-87d889b8f-knkd4","ltms","168","logs","kubernetes/default/ltms","54.157.130.114","default.ltms-87d889b8f-knkd4.ltms"
